"experiment","tray","row","column","block","genotype"
"1001G",4,5,9,23,"6244"
"1001G",4,5,10,23,"6024"
"1001G",4,5,11,23,"8231"
"1001G",4,6,1,24,"6017"
"1001G",4,6,2,24,NA
"1001G",4,6,3,24,"6125"
"1001G",4,6,4,24,"6092"
"1001G",4,6,5,24,"6046"
"1001G",4,6,6,24,"1158"
"1001G",4,6,7,24,"8231"
"1001G",4,6,8,24,"6244"
"1001G",4,6,9,24,"6237"
"1001G",4,6,10,24,"6024"
"1001G",4,6,11,24,"6184"
"1001G",5,1,1,25,"8231"
"1001G",5,1,2,25,"6017"
"1001G",5,1,3,25,"6046"
"1001G",5,1,4,25,"6024"
"1001G",5,1,5,25,"6237"
"1001G",5,1,6,25,NA
"1001G",5,1,7,25,"1158"
"1001G",5,1,8,25,"6244"
"1001G",5,1,9,25,"6184"
"1001G",5,1,10,25,"6125"
"1001G",5,1,11,25,"6092"
"1001G",5,2,1,26,"1158"
"1001G",5,2,2,26,"6244"
"1001G",5,2,3,26,NA
"1001G",5,2,4,26,"6046"
"1001G",5,2,5,26,"8231"
"1001G",5,2,6,26,"6237"
"1001G",5,2,7,26,"6184"
"1001G",5,2,8,26,"6125"
"1001G",5,2,9,26,"6017"
"1001G",5,2,10,26,"6092"
"1001G",5,2,11,26,"6024"
"1001G",5,3,1,27,"6244"
"1001G",5,3,2,27,"6184"
"1001G",5,3,3,27,"6046"
"1001G",5,3,4,27,"6125"
"1001G",5,3,5,27,"6017"
"1001G",5,3,6,27,NA
"1001G",5,3,7,27,"6024"
"1001G",5,3,8,27,"6237"
"1001G",5,3,9,27,"6092"
"1001G",5,3,10,27,"1158"
"1001G",5,3,11,27,"8231"
"1001G",5,4,1,28,"6046"
"1001G",5,4,2,28,"6092"
"1001G",5,4,3,28,"6184"
"1001G",5,4,4,28,"6244"
"1001G",5,4,5,28,"6024"
"1001G",5,4,6,28,"6017"
"1001G",5,4,7,28,NA
"1001G",5,4,8,28,"8231"
"1001G",5,4,9,28,"1158"
"1001G",5,4,10,28,"6237"
"1001G",5,4,11,28,"6125"
"1001G",5,5,1,29,"6125"
"1001G",5,5,2,29,"6017"
"1001G",5,5,3,29,"6024"
"1001G",5,5,4,29,"6092"
"1001G",5,5,5,29,"6244"
"1001G",5,5,6,29,"8231"
"1001G",5,5,7,29,"6046"
"1001G",5,5,8,29,NA
"1001G",5,5,9,29,"1158"
"1001G",5,5,10,29,"6184"
"1001G",5,5,11,29,"6237"
"1001G",5,6,1,30,"6024"
"1001G",5,6,2,30,"6017"
"1001G",5,6,3,30,"6244"
"1001G",5,6,4,30,"6184"
"1001G",5,6,5,30,"6237"
"1001G",5,6,6,30,"1158"
"1001G",5,6,7,30,"6046"
"1001G",5,6,8,30,"6125"
"1001G",5,6,9,30,"8231"
"1001G",5,6,10,30,"6092"
"1001G",5,6,11,30,NA
"1001G",6,1,1,31,"6244"
"1001G",6,1,2,31,"6237"
"1001G",6,1,3,31,"6046"
"1001G",6,1,4,31,"6024"
"1001G",6,1,5,31,"6184"
"1001G",6,1,6,31,"1158"
"1001G",6,1,7,31,NA
"1001G",6,1,8,31,"6017"
"1001G",6,1,9,31,"6125"
"1001G",6,1,10,31,"6092"
"1001G",6,1,11,31,"8231"
"1001G",6,2,1,32,"1158"
"1001G",6,2,2,32,"6184"
"1001G",6,2,3,32,"8231"
"1001G",6,2,4,32,NA
"1001G",6,2,5,32,"6237"
"1001G",6,2,6,32,"6244"
"1001G",6,2,7,32,"6046"
"1001G",6,2,8,32,"6092"
"1001G",6,2,9,32,"6024"
"1001G",6,2,10,32,"6017"
"1001G",6,2,11,32,"6125"
"1001G",6,3,1,33,"6244"
"1001G",6,3,2,33,"6184"
"1001G",6,3,3,33,"6024"
"1001G",6,3,4,33,"6046"
"1001G",6,3,5,33,NA
"1001G",6,3,6,33,"6237"
"1001G",6,3,7,33,"8231"
"1001G",6,3,8,33,"6017"
"1001G",6,3,9,33,"1158"
"1001G",6,3,10,33,"6125"
"1001G",6,3,11,33,"6092"
"1001G",6,4,1,34,"6046"
"1001G",6,4,2,34,"6244"
"1001G",6,4,3,34,"6017"
"1001G",6,4,4,34,"6024"
"1001G",6,4,5,34,"8231"
"1001G",6,4,6,34,"6184"
"1001G",6,4,7,34,"6092"
"1001G",6,4,8,34,"1158"
"1001G",6,4,9,34,NA
"1001G",6,4,10,34,"6125"
"1001G",6,4,11,34,"6237"
"1001G",6,5,1,35,"6092"
"1001G",6,5,2,35,"6046"
"1001G",6,5,3,35,"6244"
"1001G",6,5,4,35,"6024"
"1001G",6,5,5,35,"6017"
"1001G",6,5,6,35,"1158"
"1001G",6,5,7,35,NA
"1001G",6,5,8,35,"6184"
"1001G",6,5,9,35,"6125"
"1001G",6,5,10,35,"6237"
"1001G",6,5,11,35,"8231"
"1001G",6,6,1,36,NA
"1001G",6,6,2,36,"6184"
"1001G",6,6,3,36,"1158"
"1001G",6,6,4,36,"6046"
"1001G",6,6,5,36,"6244"
"1001G",6,6,6,36,"6024"
"1001G",6,6,7,36,"6017"
"1001G",6,6,8,36,"6092"
"1001G",6,6,9,36,"6237"
"1001G",6,6,10,36,"6125"
"1001G",6,6,11,36,"8231"
"1001G",7,1,1,37,NA
"1001G",7,1,2,37,"6092"
"1001G",7,1,3,37,"6125"
"1001G",7,1,4,37,"6024"
"1001G",7,1,5,37,"1158"
"1001G",7,1,6,37,"6244"
"1001G",7,1,7,37,"8231"
"1001G",7,1,8,37,"6237"
"1001G",7,1,9,37,"6184"
